CURE,D,Germany,Mannheim,DHBW Mannheim,https://www.curemannheim.de/
Blue Flash ,E,Germany,Göttingen,HAWK Göttingen,http://www.blue-flash-hawk.de
Aeroless FST Lisboa,D,Portugal,Lisboa,Universidade de Lisboa - IST,http://www.fstlisboa.com
CAT-Racing,C,Germany,Coburg,UAS Coburg,http://www.cat-racing.de
Falcon E Racing ,E,Sri Lanka,Moratuwa,University of Moratuwa,http://www.falconeracing.lk
Strohm + Söhne e.V.,E,Germany,Nürnberg,Georg Simon Ohm UAS Nürnberg,http://www.strohmundsoehne.de/
Warwickwasps,D,United Kingdom,Coventry,University of Warwick,-
YC2020,D,United States,Orlando,University of Central Florida,-
UW Formula Motorsports,E,United States,Seattle,University of Washington,https://www.uwformula.com/
STES Racing,C,India,Pune,Sinhgad COE, Vadgaon,https://www.stesracing.org/
Raftar Formula Racing,C,India,Chennai,Indian Institute of Techn. Madras,http://cfi.iitm.ac.in/raftar
GreenTeam Driverless Uni Stuttgart,D,Germany,Stuttgart,University of Stuttgart,http://www.greenteam-stuttgart.de
4ze Racing,E,India,Chennai,SRM Institute of Science and Techn. - Kattankulathur,http://www.4zeracing.com
BRS Motorsport ,E,Germany,Sankt Augustin,UAS Bonn-Rhein-Sieg,http://www.brsmotorsport.de
e-Traxx Düsseldorf,E,Germany,Düsseldorf,HSD Düsseldorf,http://www.e-traxx.eu
Racetech Racing Team e.V.,E,Germany,Freiberg,TU Freiberg,http://www.racetech-racingteam.de/
Kaiserslautern Racing Team,E,Germany,Kaiserslautern,TU Kaiserslautern,http://www.karat-racing.de
T.U.C. Racing e.V.,E,Germany,Chemnitz,TU Chemnitz,https://tuc-racing.de
IIT Bombay Racing Team,E,India,Mumbai,IIT Bombay,http://iitbracing.org/
DJS Racing Electric,E,India,Mumbai,Dwarkadas. J. Sanghvi CE,https://www.djs-racing.com/
Squadra Corse PoliTo,E,Italy,Turin,Polytechnic of Turin,http://www.squadracorsepolito.com/
eForce Driverless,D,Czech Republic,Prague,TU Prague,http://www.eforce.cvut.cz
BRT Driverless,D,Russia,Moscow,Bauman Moscow State TU,-
Revolve NTNU Driverless,D,Norway,Trondheim,NTNU Trondheim,http://www.revolve.no
FESB Racing,C,Croatia,Split,University of Split,http://ups-fesb.hr/
it:movES,D,Germany,Esslingen,UAS Esslingen,-
Centaurus Racing Team,C,Greece,Volos,University of Thessaly,https://centaurusracing.gr/
Drishti,D,India,Bangalore,Visvesvaraya TU,-
Oxford Brookes Racing Autonomous,D,United Kingdom,Oxford,Oxford Brookes University,https://obr.brookes.ac.uk/about/autonomous/
UniFacens Racing,D,Brazil,Sorocaba,Centro Universitário Facens,https://www.unifacens.edu.br/lince
Veloce Racing,C,India,Pune,Vishwakarma IT,-
Team Srijan Electric,E,India,Ranchi,Birla IT - Mesra,http://www.teamsrijan.com
NU Racing Driver Less,D,Australia,Callaghan,The University of Newcastle,-
COMines,D,United States,Golden,Colorado School of Mines,-
DTU Self Driving Car,D,India,Delhi,Delhi Technological University,http://www.dtusdc.com
DHBW Engineering Stuttgart e.V.,D,Germany,Stuttgart ,DHBW Stuttgart,https://dhbw-engineering.de/
TU Darmstadt Racing Team e.V.,E,Germany,Darmstadt,TU Darmstadt,http://www.dart-racing.de
Electric Polar Bear Racing,E,Canada,Winnipeg,University of Manitoba,http://www.umsae.com
Orion Racing India,E,India,Mumbai,K.J. Somaiya CE,http://www.orion-racing.com/
Beijing Institute of Technology FSD,D,China,Beijing,Beijing IT,http://bitfsd.com
